"ccaa_num","sexo","anyo","poblacion","idjoin","CCAA","Sexo","Periodo","casos","ccaa_num.y","tasa"
2,"Mujeres",2004,146229,"22004","02 Aragón","Mujeres",2004,209,2,142.926505686287
2,"Mujeres",2004,146229,"22004","02 Aragón","Total",2004,310,2,211.996252453344
2,"Mujeres",2005,146003,"22005","02 Aragón","Hombres",2005,97,2,66.4369910207324
2,"Mujeres",2005,146003,"22005","02 Aragón","Mujeres",2005,234,2,160.270679369602
2,"Mujeres",2005,146003,"22005","02 Aragón","Total",2005,331,2,226.707670390334
2,"Mujeres",2006,146750,"22006","02 Aragón","Hombres",2006,132,2,89.9488926746167
2,"Mujeres",2006,146750,"22006","02 Aragón","Mujeres",2006,225,2,153.321976149915
2,"Mujeres",2006,146750,"22006","02 Aragón","Total",2006,357,2,243.270868824532
2,"Mujeres",2007,147191,"22007","02 Aragón","Hombres",2007,100,2,67.9389364838883
2,"Mujeres",2007,147191,"22007","02 Aragón","Mujeres",2007,260,2,176.64123485811
2,"Mujeres",2007,147191,"22007","02 Aragón","Total",2007,360,2,244.580171341998
2,"Mujeres",2008,148162,"22008","02 Aragón","Hombres",2008,129,2,87.0668592486603
2,"Mujeres",2008,148162,"22008","02 Aragón","Mujeres",2008,243,2,164.009665096313
2,"Mujeres",2008,148162,"22008","02 Aragón","Total",2008,372,2,251.076524344974
2,"Mujeres",2009,149338,"22009","02 Aragón","Hombres",2009,136,2,91.0685826782199
2,"Mujeres",2009,149338,"22009","02 Aragón","Mujeres",2009,302,2,202.225823300165
2,"Mujeres",2009,149338,"22009","02 Aragón","Total",2009,438,2,293.294405978385
2,"Mujeres",2010,150758,"22010","02 Aragón","Hombres",2010,110,2,72.9646187930325
